INEGI. Demografía de los Negocios,
,
"Esperanza de vida de los establecimientos al nacer por entidad federativa, 2019",
Entidad federativa,"Años de esperanza de vida
E(x)"
Tamaulipas,7.2
Veracruz de Ignacio de la Llave,7.4
Coahuila de Zaragoza,7.7
Quintana Roo,7.7
Nuevo León,7.7
Tlaxcala,7.8
San Luis Potosí,8.0
Chihuahua,8.0
México,8.1
Aguascalientes,8.2
Chiapas,8.3
Guanajuato,8.3
Colima,8.3
Durango,8.4
Puebla,8.4
Nacional,8.4
Tabasco,8.4
Hidalgo,8.4
Baja California,8.6
Jalisco,8.7
Sinaloa,8.7
Ciudad de México,8.8
Campeche,8.9
Morelos,8.9
Baja California Sur,9.0
Sonora,9.1
Zacatecas,9.2
Guerrero,9.4
Michoacán de Ocampo,9.6
Nayarit,9.7
Querétaro,9.8
Yucatán,10.7
Oaxaca,11.4
,
Fuente: INEGI. Demografía de los Negocios 1989-2019.  ,
