"INEGI. Estudio sobre la Demografía de los Negocios EDN 2021
Fecha de elaboración: 21/12/2021",,,,,,,Cuadro 2
"Proporción a 27 meses y tasa mensual de nacimientos, muertes y crecimiento de los establecimientos, por entidad federativa, sector de actividad económica y tamaño del establecimiento",,,,,,,
,,,,,,,
Clave Entidad federativa,Entidad federativa,Gran sector y tamaño del establecimiento,Proporción1 a 27 meses,,,Tasa mensual,
,,,Nacimientos,Muertes,Variación2,Nacimientos,Muertes
,,,,,,,
00,Estados Unidos Mexicanos,Total,  24.44,  32.61,-  8.17,  0.81,  1.45
00,Estados Unidos Mexicanos,Micro,  25.08,  33.02,-  7.94,  0.83,  1.47
00,Estados Unidos Mexicanos,PyME´s,  6.42,  21.01,-  14.59,  0.23,  0.87
00,Estados Unidos Mexicanos,Manufacturas,  15.91,  25.69,-  9.79,  0.55,  1.09
00,Estados Unidos Mexicanos,Comercio,  27.13,  29.88,-  2.76,  0.89,  1.31
00,Estados Unidos Mexicanos,Servicios Privados no Financieros,  24.00,  38.16,-  14.16,  0.80,  1.76
01,Aguascalientes,Total,  33.35,  39.39,-  6.04,  1.07,  1.84
01,Aguascalientes,Micro,  34.43,  40.20,-  5.76,  1.10,  1.89
01,Aguascalientes,PyME´s,  5.41,  18.62,-  13.20,  0.20,  0.76
01,Aguascalientes,Manufacturas,  24.77,  27.29,-  2.52,  0.82,  1.17
01,Aguascalientes,Comercio,  32.51,  35.68,-  3.17,  1.05,  1.62
01,Aguascalientes,Servicios Privados no Financieros,  35.92,  45.65,-  9.74,  1.14,  2.23
02,Baja California,Total,  20.92,  31.67,-  10.75,  0.71,  1.40
02,Baja California,Micro,  21.43,  32.43,-  11.00,  0.72,  1.44
02,Baja California,PyME´s,  12.70,  19.40,-  6.70,  0.44,  0.80
02,Baja California,Manufacturas,  17.44,  28.26,-  10.82,  0.60,  1.22
02,Baja California,Comercio,  19.60,  27.58,-  7.99,  0.66,  1.19
02,Baja California,Servicios Privados no Financieros,  22.84,  36.39,-  13.55,  0.76,  1.66
03,Baja California Sur,Total,  21.86,  35.12,-  13.26,  0.73,  1.59
03,Baja California Sur,Micro,  22.77,  36.11,-  13.34,  0.76,  1.65
03,Baja California Sur,PyME´s,  8.18,  20.31,-  12.13,  0.29,  0.84
03,Baja California Sur,Manufacturas,  19.36,  32.96,-  13.60,  0.66,  1.47
03,Baja California Sur,Comercio,  22.26,  30.43,-  8.17,  0.75,  1.34
03,Baja California Sur,Servicios Privados no Financieros,  21.93,  39.46,-  17.53,  0.74,  1.84
04,Campeche,Total,  20.43,  37.79,-  17.36,  0.69,  1.74
04,Campeche,Micro,  21.19,  38.02,-  16.83,  0.71,  1.76
04,Campeche,PyME´s,  0.00,  31.66,-  31.66,  0.00,  1.40
04,Campeche,Manufacturas,  8.67,  22.62,-  13.95,  0.31,  0.95
04,Campeche,Comercio,  24.18,  37.04,-  12.86,  0.81,  1.70
04,Campeche,Servicios Privados no Financieros,  19.12,  42.22,-  23.10,  0.65,  2.01
05,Coahuila,Total,  17.08,  30.78,-  13.69,  0.59,  1.35
05,Coahuila,Micro,  17.87,  31.68,-  13.81,  0.61,  1.40
05,Coahuila,PyME´s,  5.84,  17.82,-  11.98,  0.21,  0.72
05,Coahuila,Manufacturas,  18.55,  26.76,-  8.21,  0.63,  1.15
05,Coahuila,Comercio,  20.15,  31.22,-  11.07,  0.68,  1.38
05,Coahuila,Servicios Privados no Financieros,  13.82,  31.25,-  17.43,  0.48,  1.38
06,Colima,Total,  19.96,  41.86,-  21.90,  0.68,  1.99
06,Colima,Micro,  20.62,  42.39,-  21.77,  0.70,  2.02
06,Colima,PyME´s,  4.94,  29.82,-  24.87,  0.18,  1.30
06,Colima,Manufacturas,  12.97,  33.40,-  20.43,  0.45,  1.49
06,Colima,Comercio,  24.65,  37.94,-  13.29,  0.82,  1.75
06,Colima,Servicios Privados no Financieros,  17.44,  46.40,-  28.96,  0.60,  2.28
07,Chiapas,Total,  27.73,  26.34,  1.39,  0.91,  1.13
07,Chiapas,Micro,  28.03,  26.39,  1.64,  0.92,  1.13
07,Chiapas,PyME´s,  9.22,  23.15,-  13.93,  0.33,  0.97
07,Chiapas,Manufacturas,  14.45,  14.16,  0.30,  0.50,  0.56
07,Chiapas,Comercio,  31.73,  25.47,  6.26,  1.03,  1.08
07,Chiapas,Servicios Privados no Financieros,  27.61,  32.38,-  4.77,  0.91,  1.44
08,Chihuahua,Total,  21.02,  31.17,-  10.16,  0.71,  1.37
08,Chihuahua,Micro,  21.61,  31.75,-  10.14,  0.73,  1.41
08,Chihuahua,PyME´s,  10.46,  20.93,-  10.48,  0.37,  0.87
08,Chihuahua,Manufacturas,  17.17,  31.93,-  14.77,  0.59,  1.41
08,Chihuahua,Comercio,  17.68,  26.70,-  9.03,  0.60,  1.14
08,Chihuahua,Servicios Privados no Financieros,  25.28,  35.77,-  10.50,  0.84,  1.63
09,Ciudad de México,Total,  25.09,  31.86,-  6.77,  0.83,  1.41
09,Ciudad de México,Micro,  26.46,  32.50,-  6.04,  0.87,  1.45
09,Ciudad de México,PyME´s,  5.49,  22.70,-  17.21,  0.20,  0.95
09,Ciudad de México,Manufacturas,  20.78,  25.26,-  4.48,  0.70,  1.07
09,Ciudad de México,Comercio,  28.93,  28.58,  0.35,  0.95,  1.24
09,Ciudad de México,Servicios Privados no Financieros,  21.61,  36.67,-  15.06,  0.73,  1.68
10,Durango,Total,  26.22,  35.50,-  9.28,  0.87,  1.61
10,Durango,Micro,  26.90,  36.13,-  9.23,  0.89,  1.65
10,Durango,PyME´s,  6.88,  17.62,-  10.74,  0.25,  0.72
10,Durango,Manufacturas,  21.26,  30.88,-  9.62,  0.72,  1.36
10,Durango,Comercio,  26.66,  29.71,-  3.05,  0.88,  1.30
10,Durango,Servicios Privados no Financieros,  26.89,  42.08,-  15.20,  0.89,  2.00
11,Guanajuato,Total,  24.89,  30.00,-  5.11,  0.83,  1.31
11,Guanajuato,Micro,  25.48,  30.17,-  4.70,  0.84,  1.32
11,Guanajuato,PyME´s,  5.22,  24.14,-  18.92,  0.19,  1.02
11,Guanajuato,Manufacturas,  16.03,  28.05,-  12.02,  0.55,  1.21
11,Guanajuato,Comercio,  26.55,  28.65,-  2.10,  0.88,  1.24
11,Guanajuato,Servicios Privados no Financieros,  24.85,  33.21,-  8.36,  0.83,  1.48
12,Guerrero,Total,  15.46,  27.06,-  11.60,  0.53,  1.16
12,Guerrero,Micro,  15.62,  27.07,-  11.45,  0.54,  1.16
12,Guerrero,PyME´s,  1.03,  26.37,-  25.34,  0.04,  1.13
12,Guerrero,Manufacturas,  6.78,  14.03,-  7.25,  0.24,  0.56
12,Guerrero,Comercio,  20.80,  30.70,-  9.90,  0.70,  1.35
12,Guerrero,Servicios Privados no Financieros,  18.53,  37.32,-  18.78,  0.63,  1.72
13,Hidalgo,Total,  36.14,  37.97,-  1.83,  1.15,  1.75
13,Hidalgo,Micro,  36.67,  38.39,-  1.72,  1.16,  1.78
13,Hidalgo,PyME´s,  5.73,  13.60,-  7.88,  0.21,  0.54
13,Hidalgo,Manufacturas,  29.10,  32.79,-  3.69,  0.95,  1.46
13,Hidalgo,Comercio,  37.27,  35.03,  2.24,  1.18,  1.58
13,Hidalgo,Servicios Privados no Financieros,  36.66,  43.69,-  7.03,  1.16,  2.10
14,Jalisco,Total,  18.47,  29.20,-  10.73,  0.63,  1.27
14,Jalisco,Micro,  18.87,  29.55,-  10.68,  0.64,  1.29
14,Jalisco,PyME´s,  8.30,  20.45,-  12.15,  0.30,  0.84
14,Jalisco,Manufacturas,  15.65,  30.59,-  14.94,  0.54,  1.34
14,Jalisco,Comercio,  17.83,  26.97,-  9.15,  0.61,  1.16
14,Jalisco,Servicios Privados no Financieros,  19.93,  31.31,-  11.38,  0.68,  1.38
15,Estado de México,Total,  30.86,  34.09,-  3.23,  1.00,  1.53
15,Estado de México,Micro,  31.35,  34.61,-  3.26,  1.02,  1.56
15,Estado de México,PyME´s,  10.78,  12.74,-  1.97,  0.38,  0.50
15,Estado de México,Manufacturas,  20.17,  29.08,-  8.91,  0.68,  1.26
15,Estado de México,Comercio,  33.71,  31.06,  2.65,  1.08,  1.37
15,Estado de México,Servicios Privados no Financieros,  29.83,  40.98,-  11.15,  0.97,  1.93
16,Michoacán,Total,  21.67,  28.24,-  6.57,  0.73,  1.22
16,Michoacán,Micro,  22.12,  28.41,-  6.29,  0.74,  1.23
